連絡先名,display_name
連絡先電話番号（ハイフン付き）,phone_number
連絡先ステータス,status
連携項目7,linkage_item7
連携項目6,linkage_item6
連携項目5,linkage_item5
連携項目4,linkage_item4
連携項目3,linkage_item3
連携項目2,linkage_item2
連携項目1,linkage_item1
連携項目,linkage_item
理由,comment
履歴分類,history_category_name
履歴ID,history_id
郵便番号,postal_code
有効期限,expiration
有効管理ID,business_unit_active_control_id
有効,active
問い合わせ先メッセージ,contact_information_message
名称,display_name
本社（郵便番号）,postal_code
本社（都道府県）,address_region
本社（電話番号）,phone_number
本社（住所）,address
法令情報,legal_properties
法人コード,company_number
変更前,old_value
変更後,new_value
文書分類,category
分類,category
紐付アカウント,email
紐づけるテナントID,link_tenant_id
備考,remark
発生日時,occurred_at
発生日,occurred_at
売上,net_sales
納入先として使用する,delivery_point
納入,delivery_point
認証名（選択肢に存在しない場合のみ）,display_name
認証番号,certificate_number
認証,certificate
内容パラメータ,content_paramaters
内容,content
電話番号,phone_number
伝票種類,type_name
伝票ID,record_id
添付ファイル,attachment
適用範囲（対象製品）,scope_product
適用範囲（対象製品）,scope_product
適用範囲（対象拠点/対象設備）,scope_branch
適格請求書番号,company_legal_properties_eligible_invoice_authorization_number
通知日時,notified_at
通知内容,notification_setting
通知先企業名,notification_company_name
通知先アカウント,notification_user
通知レベル,level
通知ID,notification_id
通知/更新ステータス,active_status
担当者名,display_name
担当者コード,staff_code
第三者情報ファイルデータ,business_unit_score_asset
第三者情報ファイルID,business_unit_score_asset_id
台数,assets_amount
代表連絡先,main_contact
代表電話番号（ハイフン付き）,phone_number
代表所属先,component_unit_code
代表者名（ふりがな）,representative_display_name_lang_jakana
代表者名,representative_display_name_lang_ja
代表者（役職）,representative_position
代表者（生年月日）,representative_birth_date
代表者,representative
対象項目2,target_field_path
対象項目1,target_key
送信情報,send_process
相手先担当,notification_users
組織として使用する,organization_unit
組織,organization_unit
設備分類,categorys
設置拠点,business_unit_branch_id
精度,accuracy
申請対象となる会社ID,companyId
申請情報の埋め込み,business_unit_request
申請を行った会社ID,source_company_id
場所情報,place_properties
場所（地図）:アセットID,place_image_asset_id
場所:名称値,place_display_name_ja
証明書ファイル添付,attachment
証明書,attachment
招待テナントID,invite_by
所属する会社ID,company_id
処理まとめ,summary
処理（検査/取込）,dry_run
重複チェック用UUID,schedule_task_id
従業員（平均年齢）,employees_average_age
従業員（人数）,employees_size
住所情報,address
住所:郵便番号,address_postal_code
住所:住所,address_address_line
住所:国コード,address_country_code
住所,address
終了年月,period_end
取得予定有無,obtain_plan
取得予定日,obtain_plan
取得年月日,obtained
取得済み,obtained
取引窓口として使用する,post_unit
取引窓口（自社内）,post_unit
取引窓口,post_unit
取引先名,display_name
取引先分類,category
取引先担当者,main_contact
取引先担当氏名,invitees_display_name
取引先担当アドレス,invitees_email
取引先情報（自社内）,business_unit
取引先種別,post_unit_type
取引先管理マスタ,business_unit_management
取引先管理スナップショットID,business_unit_snapshot_id
取引先管理ID,business_unit_management_id
取引先管理（連絡先）社内管理データ,business_unit_contact_attribute
取引先管理（連絡先）社内管理ID,business_unit_contact_attribute_id
取引先管理（連絡先）依頼データ,business_unit_contact_header
取引先管理（連絡先）依頼ID,business_unit_contact_header_id
取引先管理（連絡先）ID,business_unit_contact_id
取引先管理（文書）ID,business_unit_document_id
取引先管理（第三者情報）情報,item_values
取引先管理（拠点）ID,business_unit_branch_id
取引先コード,code
取引先アシスタント,main_contact_assistant
取引区分,status
主要納入先,main_customer
主要取引銀行,main_bank
主要仕入先,main_supplier
主要株主,main_shareholder
主担当グループコード,contact_attribute_code
主担当アカウントアドレス,staff_email
主な事業内容,main_business
社内管理用名称,display_name
社内管理用備考,remarks
社内管理用コード,code
社内管理名,display_name
社内管理コード,code
識別コード,code
自社通知先アカウント,aggregated_notification_users
自社担当者,staff
自社企業ID,company_id
自社企業（連絡先）マスタ,business_unit_contact
自社企業（認証）ID,business_unit_certificate_id
自社企業（得意分野）ID,business_unit_strength_id
自社企業（設備）ID,business_unit_facilities_id
自社企業（決算）ID,business_unit_financial_id
自社企業（拠点）ID,business_unit_branch_id
自社企業（技術情報）ID,business_unit_skill_id
自社企業（基本情報）マスタ,business_unit_profile
自社企業（基本情報）ID,business_unit_profile_id
自社アシスタント,staff_assistant
自テナントID,tenant_id
次回取得予定,obtain_plan
事業内容/製造内容,overview
事業内容,main_business
事業所情報：本店,office_properties_office_rank_code
事業所として使用する,office
事業所,office
資本金（百万円）,capital_stock
資本金,capital_stock
使用:コード値,usable_code
使用,usable
削除レコード,delete_record
最終更新情報,updated_properties
項目名,item_values_item_key
項目値,item_values_item_value
更新通知ID,business_unit_change_notification_id
更新情報,process
公開済み,published
公開コメント,public_comment
個別メッセージ,individual_message
元となる取引開始依頼,business_unit_request
件数,total
経常利益,ordinary_income
型式,model_number
業種名称,industry
強み分類,category
共有情報,shared_properties
拠点名,business_unit_branch_display_name
拠点情報,business_unit_branch_properties
技術情報,skills
基本情報,profile
企業名（正式名）,display_name_lang_ja
企業名（社内管理用名称）,display_name
企業名,display_name_lang_ja
企業ステータス,company_status
関連設備,business_unit_facilities_id
関連拠点,business_unit_branch_id
管理場所名（かな）,display_name_ja_kana
管理場所名,display_name_ja
管理場所分類,component_unit_category
管理場所区分,component_unit_category
管理場所コード,component_unit_code
管理場所ID,component_unit_id
管理場所（グローバル）,component_unit
開始年月,period_start
会社名,company_display_name
会社情報（グローバル）,company
会社URL,website_url
加工可能な材料,processable_material
加工トン数,processable_ton
英語名,display_name_lang_en
営業利益,operating_profit
依頼対象（通知先アカウント）,notification_user
依頼対象（書類送付先）,document_recipient_address
宛名,alias
メモ,remarks
メールアドレス,contact_email
メーカー,manufacture
マークつける対象の会社ID,company_id
ホームページURL,website_url
ページトークン,page_token
ふりがな,display_name_lang_jakana
ファイルフォーマット,file_format
ファイル,attachments
バッチ開始時間,occurred_at
テナント紐付け情報,tenant_link_process
テナント招待通知先,invitees
テナント招待情報,tenant_invite_process
テナントステータス,tenant_status
データ種類,category
タグ,tags
タイムゾーン,timezone_name
システム通知先,system_notification_users
サイズφ,diameter
サイズZ,size_z
サイズY,size_y
サイズX,size_x
サイズT,size_t
キー項目[連絡先名],key_value
キー項目[認証名],key_value
キー項目[-],key_value
エラー内容,errors
エラーファイル出力,export_error
エラー・警告ファイルアセットID（一時領域）,asset_id
エラー・警告ファイル,asset_id
アシスタントアカウントアドレス,staff_assistant_email
アカウント情報,user
urn,urn
ID,id
FAX,fax_number
Adminユーザー,admin_user
